,1,Txn Hash,Method,Block,2,Age,3,From,4,To,Value,Txn Fee,5
0,,0xd769b1057d2e2ef5229024dd348519881a190184f0a3e46d17aa491d768ec04d,Transfer,17166331,,16 secs ago,,builder0x69.eth,,Fee Recipient: 0x467...263,0.217052741 ETH,0.00169035,
1,,0xe4e5f344e128bfce45ae78f6ac4e1efdbce5300f7ce0b170cac67f71af3e9b61,0x00000002,17166331,,16 secs ago,,0x83b4F7...122354f5,,MEV Bot: 0x07b...163,0 ETH,0.06880457,
2,,0xa94b493d73b2599e033700f28920e88093fbc9104e072e90dbeb07e8f0859d7b,Execute,17166331,,16 secs ago,,0xc50BcD...40DbeE62,,Uniswap: Universal Router,0.82 ETH,0.010774,
3,,0x31268f32d82cc8c05382edfc519d602ea851059d6ef7822830e1bf3cdf33bbe8,Relay1Gs Wnfs IQ...,17166331,,16 secs ago,,0x83b4F7...122354f5,,MEV Bot: 0x07b...163,0 ETH,0.00707439,
4,,0xe697e5bc3043e27632076532b8312ab2b47991382edc0c781fb5845135722bc9,Transfer,17166331,,16 secs ago,,0x36311A...C85BC89c,,Tether: USDT Stablecoin,0 ETH,0.00509348,
5,,0x7980a098863348f4f4c343223b820ac2c8b6dc7ba6b02d23d555461587167a23,Transfer,17166331,,16 secs ago,,0xb121E5...7401C249,,0x016593...7d001d43,0 ETH,0.0041485,
6,,0x386472f8ec4acacb66528ceba7b82086891fcba12cef036f7d90fb530f6ae87c,Transfer,17166331,,16 secs ago,,0x27899f...9EE60FD6,,0xce2aB6...386e70Bf,0.108602902 ETH,0.00169221,
7,,0xf606aca05eaff29a49c9d55d03402b5f4a3d088d021e137bc3d20e583975411b,Transfer,17166331,,16 secs ago,,0x8C8D7C...564d7465,,0x742f83...4b2c94Fb,0.216442729 ETH,0.00169221,
8,,0xf0ddaf26355b709b78f94a4f2c2aa96ad39f0b2a0e63e2b643e7b54faf6e8bab,0xe3a54629,17166331,,16 secs ago,,0xd205a9...7fEc5044,,Bitrue: Deposit Funder,0.078552896 ETH,0.00803471,
9,,0x527ba214b43a1b2ad466cb519ecc6d50207fbc6398ebd214f4c444ad473e83b5,Transfer,17166331,,16 secs ago,,0xD0C67e...49E28A67,,Tether: USDT Stablecoin,0 ETH,0.00332874,
10,,0x73ab579dec9164e467dff1592ea1b4d1fd814943476a209a0266fb885b850d19,Transfer,17166331,,16 secs ago,,0xCBD683...c58575ac,,0x71c861...17223602,0.0893741 ETH,0.00169221,
11,,0xbaebe6fe6eeed775211b7520cfea98f80b499686e70a073c186985f770bab20f,Transfer,17166331,,16 secs ago,,0x292f04...35A478c8,,Tether: USDT Stablecoin,0 ETH,0.00509348,
12,,0x62cdabd104671c29f71fb000e7c96bc190e508bb2df947bdc00f98a327308913,Execute,17166331,,16 secs ago,,0x962366...A8E626d6,,Uniswap: Universal Router,0.12 ETH,0.01209353,
13,,0xc061fd965de52494d689ac5628a0983461b166630c768cf6db011d5e69b29f38,Execute,17166331,,16 secs ago,,0xC9D9a8...F72De356,,Uniswap: Universal Router,0.055 ETH,0.01550721,
14,,0xd388468d2dea3b10cf0d6afb3381a5ada324a42610f7f10f938478455fd62cc5,Transfer,17166331,,16 secs ago,,0xf4c114...9bC0bFbD,,0xe12275...CfF60461,0.021108497 ETH,0.00169245,
15,,0xb67a9027fa4a021237e529613c7e4e18c9544bbe101c9c29a4c5aa794dc1bfb9,Bid,17166331,,16 secs ago,,0xA35A48...f4DB37F2,,0x37110A...6c9864be,0 ETH,0.00852515,
16,,0x92263a9936d4f3e7b755596a39d75b24a4e53c20b6148cbe53e64ded69a29457,Transfer,17166331,,16 secs ago,,dhoward.eth,,0x06d4AC...024D4Ec9,1.5 ETH,0.00169245,
17,,0xd2bf8409b38de2f1344fcbaa08d090731900cdced0a995c391199e3bd0a88782,Transfer,17166331,,16 secs ago,,0xD9a587...930303AA,,0x6717b5...088dd574,0.16 ETH,0.00169245,
18,,0xe8a8c219138c62c0a363f7ace745b1fb1f71ce465d6a4abce2b43ac6ddf3cada,0x00000000,17166331,,16 secs ago,,0x8F9d2B...fF89e4fa,,Seaport 1.4,0.0396 ETH,0.01098438,
19,,0x2b48a02028a02551685337bc462681dba062788d652c33a31b980e15d0ef3dd8,Execute,17166331,,16 secs ago,,0xBa4EFC...7E1F9293,,Uniswap: Universal Router,0.22 ETH,0.01512566,
20,,0x367562eb12c635463820943de033ca4563d2a2f80bafdc0b2dd209807b8af75f,Transfer,17166331,,16 secs ago,,0x1FF687...7b8996eD,,0x55a3f0...DBB02113,0.7 ETH,0.00262701,
21,,0x6cd4271a9b21007f38a9eac0fb6a119d8b67320347cffa383f06291ea0d01b79,Approve,17166331,,16 secs ago,,0x77B9C2...83048c7D,,0xA9E8aC...41a9489A,0 ETH,0.00380585,
22,,0x163cf5d329e6ada50b9d04e3dfbb01cddc29d98473f72987d76fc413f56d1f80,Execute,17166331,,16 secs ago,,FREEdom Coin: Deployer,,Uniswap: Universal Router,0.1 ETH,0.01208875,
23,,0xc972abfc0a91e5f8ef5b43082fa8fe916dd96f71ae074e339c4d4d59f49397bd,Execute,17166331,,16 secs ago,,0x149831...D2e3c9fF,,Uniswap: Universal Router,0 ETH,0.01504402,
24,,0xd2ebd9fb79accb10c69cf2d0a7a31950575fea1b9324fab0ded8766a2982a24a,Execute,17166331,,16 secs ago,,0x92939F...82FdE32b,,Uniswap: Universal Router,0 ETH,0.01447334,
25,,0x3481edd4a38d332c6c5727ea96c9a3973237b01513a51f845726704398deacd2,Transfer,17166331,,16 secs ago,,0xc7076A...7170B41C,,0x53172E...1Bb99A50,0.00552104 ETH,0.00169245,
26,,0x466e93f150c2d63a6f9d21c1387d071bfdb04244b35cc634a59d755da9503d5b,Execute,17166331,,16 secs ago,,0x902E34...2e26E661,,Uniswap: Universal Router,0.28 ETH,0.01067965,
27,,0x8396de1dc3204dfd46a6063c04116df859a17a03330e8eb6b8ce9f0f78a5ad45,Transfer,17166331,,16 secs ago,,0xd042B0...49761D97,,0x4731f8...D8b56AaD,0.017963917 ETH,0.00169245,
28,,0x8e63834367b368b5cd23e6241c9605057a5f5b461da2862d341716d93cad324f,Transfer,17166331,,16 secs ago,,0xa8bd82...4879BA57,,0xcFe283...93Be0C81,4.3 ETH,0.00169245,
29,,0x1f847bba25b32feccb3c3af4cbf9d6f3bb3704a2fa5f14c8f17d7971271c1b2f,Transfer,17166331,,16 secs ago,,alfi.eth,,Maker: Dai Stablecoin,0 ETH,0.00379126,
30,,0x23a0a3c8d0dc368b567e3981aa10ebb75bce3ccfe45d4bf23beb18552faf9a61,Set Approval For...,17166331,,16 secs ago,,0xf585Ba...1ce00B8f,,Pepe Open Editions: PEPE Token,0 ETH,0.00371607,
31,,0x7b53bc8b9182bed2112b4f7e716a576402c08641f14b955d8bb14d50ec9f5724,Approve,17166331,,16 secs ago,,0xC9c18C...E33C3387,,Abracadabra.money: SPELL Token,0 ETH,0.00371551,
32,,0x1e1fe8286203ac6d37f7516fc296a1f92c07089561619a3f4b2718067297177f,Transfer,17166331,,16 secs ago,,0xd02c18...C1aA257d,,0x6A1eAc...211c269c,1.718571243 ETH,0.00169245,
33,,0x765dda928b0a53808bde82d9b65da9a77a9c1b5bc468973f51f8e63f2b3de57e,Execute,17166331,,16 secs ago,,kdub2008.eth,,Uniswap: Universal Router,0.05 ETH,0.01193336,
34,,0x5a0ce83e3b3cba6c28e7435b28f4ce0388b9cd7c42c1e7d02799c1755a0d9e40,Transfer,17166331,,16 secs ago,,0xA49aC0...a0169874,,0xc70D74...fbD872FF,0.042 ETH,0.00169245,
35,,0x6145e8d7e8656ca7223710c1fddd9bd4470355142549ff22b3ff08a75c75ac57,Execute,17166331,,16 secs ago,,0x12b8a1...aAcd3DFd,,Uniswap: Universal Router,0.08 ETH,0.01510527,
36,,0xb1377285766fd7f2b1f57ea1bc9cc5e537302f4cc35a47963e2b62f004e566f9,Set Approval For...,17166331,,16 secs ago,,richsanchez.eth,,0x8CB058...67f4D2E6,0 ETH,0.00495656,
37,,0x4e9a4f14401691253d09f39732d2f993df8cc2564d37eb09025ccc993f84d1a3,Transfer,17166331,,16 secs ago,,0xA654df...04a72989,,0x9DB58C...371f6B94,0.23674354 ETH,0.00169245,
38,,0x34592ae43d1c4fe7223a85b0d78e79adc68c09aa5dd333e65a8b4622446a28d3,Mint,17166331,,16 secs ago,,0x85beD5...BA944A95,,0x49bd7F...28157c12,0.05 ETH,0.01097358,
39,,0x94f85f9ce15837e022c35fe001720741a8af39983640388d8b9e677519520800,Fulfill Availabl...,17166331,,16 secs ago,,0x686d68...3b7309D4,,Seaport 1.4,0.036899 ETH,0.02646748,
40,,0x0a17f097e0a64ebc3678a368dfe934a5ebd0a5a171e85a2dec73d4f88c79482a,Batch Edit Quest,17166331,,16 secs ago,,0x32c0a4...91627b39,,The Captainz: Captainz Token,0 ETH,0.00537782,
41,,0xa04ecd52585d89e53708c374f2a7d99849b002a42cbf3026bf643cec987556d7,Transfer,17166331,,16 secs ago,,0xEf5797...620774d1,,Tether: USDT Stablecoin,0 ETH,0.00332922,
42,,0x4958551c166529fb53db30e7b0e4a373e39b6fe5a0e5f7c087474fa13a409ff4,Mint,17166331,,16 secs ago,,0xAcc63C...3201E74D,,0x499De9...d7259cb7,0 ETH,0.01133544,
43,,0x5f2f8600b448bd1cbc408b29a36d7c2bf05560c9a6af46bdd020c117799d9d20,Execute,17166331,,16 secs ago,,0xcC4659...94691b60,,Uniswap: Universal Router,0.11 ETH,0.00968408,
44,,0x6ce551620bdd3fb38496d04f5366a0576c8899b3561907917f8706ee388e96d0,Approve,17166331,,16 secs ago,,0x3D1ff3...113CEEF6,,0xbd15Ad...0DC312Bf,0 ETH,0.00373283,
45,,0x6cff02ed1a4cfbd15e5e520c51a4205ddcf04b7c3a09612fff2abd4e2668c376,Transfer,17166331,,16 secs ago,,0xd28675...e26Cb000,,0x61A0eC...21764c5B,0.05 ETH,0.00169245,
46,,0x2787fe4a2000bec388381edd784b73e4cd99a9d8f4a738871d14e45119bd39ab,Execute,17166331,,16 secs ago,,0xfec62f...fBe24e1E,,Uniswap: Universal Router,0.065 ETH,0.01160817,
47,,0x6479c10e82fb649c4bfb7d3290f7f7e9c360ffc381b5b061ee4043892f072023,Safe Transfer Fr...,17166331,,16 secs ago,,0xcandice.eth,,Meebits: âš‡ Token,0 ETH,0.00685639,
48,,0xd5e0e8eec163249ff80e13fa7095e546bed189a6a652f5de25345c2fbdd8fbae,Execute,17166331,,16 secs ago,,0x9E547B...AC6e5a0F,,Uniswap: Universal Router,0.1 ETH,0.01093328,
49,,0x61b32d2716f2646500306dba75c1b3a3c821b40ef95e4007d83f081378c7be6a,Mint,17166331,,16 secs ago,,andybergsman.wallet,,0xBfBF1B...37Ca470e,0 ETH,0.00876959,
